id_subsistema;nom_subsistema;din_instante;val_cmomediasemanal;val_cmoleve;val_cmomedia;val_cmopesada
N;NORTE;2025-01-03;15.44;15.33;15.46;15.68
NE;NORDESTE;2025-01-03;15.44;15.33;15.46;15.68
S;SUL;2025-01-03;15.44;15.33;15.46;15.68
SE;SUDESTE;2025-01-03;15.44;15.33;15.46;15.68
N;NORTE;2025-01-10;40.52;40.22;40.58;40.96
NE;NORDESTE;2025-01-10;40.52;40.22;40.58;40.96
S;SUL;2025-01-10;40.52;40.22;40.58;40.96
SE;SUDESTE;2025-01-10;40.52;40.22;40.58;40.96
N;NORTE;2025-01-17;7.57;7.47;7.6;7.69
NE;NORDESTE;2025-01-17;7.57;7.47;7.6;7.69
S;SUL;2025-01-17;7.57;7.47;7.6;7.69
SE;SUDESTE;2025-01-17;7.57;7.47;7.6;7.69
N;NORTE;2025-01-24;31.88;31.41;31.95;32.57
NE;NORDESTE;2025-01-24;31.88;31.41;31.95;32.57
S;SUL;2025-01-24;31.88;31.41;31.95;32.57
SE;SUDESTE;2025-01-24;31.88;31.41;31.95;32.57
N;NORTE;2025-01-31;40.19;39.79;39.79;41.49
NE;NORDESTE;2025-01-31;40.19;39.79;39.79;41.49
S;SUL;2025-01-31;40.63;39.79;41.03;41.49
SE;SUDESTE;2025-01-31;40.63;39.79;41.03;41.49
N;NORTE;2025-02-07;0.0;0.0;0.0;0.0
NE;NORDESTE;2025-02-07;0.0;0.0;0.0;0.0
S;SUL;2025-02-07;60.11;58.86;60.91;61.1
SE;SUDESTE;2025-02-07;59.99;58.86;60.57;61.1
N;NORTE;2025-02-14;0.0;0.0;0.0;0.0
NE;NORDESTE;2025-02-14;0.0;0.0;0.0;0.0
S;SUL;2025-02-14;102.34;100.35;103.21;104.5
SE;SUDESTE;2025-02-14;102.34;100.35;103.21;104.5
N;NORTE;2025-02-21;0.0;0.0;0.0;0.0
NE;NORDESTE;2025-02-21;0.0;0.0;0.0;0.0
S;SUL;2025-02-21;124.8;121.27;126.18;128.85
SE;SUDESTE;2025-02-21;124.8;121.27;126.18;128.85
N;NORTE;2025-02-28;0.0;0.0;0.0;0.0
NE;NORDESTE;2025-02-28;0.0;0.0;0.0;0.0
S;SUL;2025-02-28;125.38;121.42;127.43;129.17
SE;SUDESTE;2025-02-28;125.38;121.42;127.43;129.17
N;NORTE;2025-03-07;0.0;0.0;0.0;0.0
NE;NORDESTE;2025-03-07;0.0;0.0;0.0;0.0
S;SUL;2025-03-07;315.49;310.17;317.5;325.05
SE;SUDESTE;2025-03-07;315.49;310.17;317.5;325.05
N;NORTE;2025-03-14;0.0;0.0;0.0;0.0
NE;NORDESTE;2025-03-14;0.0;0.0;0.0;0.0
S;SUL;2025-03-14;343.62;338.2;344.81;351.21
SE;SUDESTE;2025-03-14;343.62;338.2;344.81;351.21
N;NORTE;2025-03-21;0.0;0.0;0.0;0.0
