id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2024-01-01;51691.2265625;25312.04296875;48.96780014
N;NORTE;2024-01-01;15302.39648438;7011.44091797;45.81919861
SE;SUDESTE;2024-01-01;204615.328125;124275.2578125;60.73600006
S;SUL;2024-01-01;20459.2421875;18542.40039063;90.63089752
NE;NORDESTE;2024-01-02;51691.2265625;25353.76367188;49.04850006
N;NORTE;2024-01-02;15302.39648438;7000.30712891;45.74649811
SE;SUDESTE;2024-01-02;204615.328125;124082.0390625;60.64160156
S;SUL;2024-01-02;20459.2421875;18325.1015625;89.56880188
NE;NORDESTE;2024-01-03;51691.2265625;25376.54492188;49.09260178
N;NORTE;2024-01-03;15302.39648438;6960.33691406;45.48529816
SE;SUDESTE;2024-01-03;204615.328125;123918.921875;60.56190109
S;SUL;2024-01-03;20459.2421875;18116.39648438;88.54869843
NE;NORDESTE;2024-01-04;51691.2265625;25435.71679688;49.20700073
N;NORTE;2024-01-04;15302.39648438;6936.84912109;45.33179855
SE;SUDESTE;2024-01-04;204615.328125;124212.2265625;60.7052002
S;SUL;2024-01-04;20459.2421875;17950.03515625;87.73560333
NE;NORDESTE;2024-01-05;51691.2265625;25489.95507813;49.31200027
N;NORTE;2024-01-05;15302.39648438;6933.05517578;45.30699921
SE;SUDESTE;2024-01-05;204615.328125;124501.265625;60.8465004
S;SUL;2024-01-05;20459.2421875;17743.39257813;86.7256012
NE;NORDESTE;2024-01-06;51691.2265625;25535.0703125;49.39920044
N;NORTE;2024-01-06;15302.39648438;6942.50683594;45.36880112
SE;SUDESTE;2024-01-06;204615.328125;124891.8984375;61.03739929
S;SUL;2024-01-06;20459.2421875;17594.11132813;85.99590302
NE;NORDESTE;2024-01-07;51691.2265625;25577.90429688;49.48210144
N;NORTE;2024-01-07;15302.39648438;6973.98876953;45.57450104
SE;SUDESTE;2024-01-07;204615.328125;125072.03125;61.12540054
S;SUL;2024-01-07;20459.2421875;17435.40429688;85.22019958
NE;NORDESTE;2024-01-08;51691.2265625;25600.76367188;49.52629852
N;NORTE;2024-01-08;15302.39648438;6969.35205078;45.5442009
SE;SUDESTE;2024-01-08;204615.328125;124688.015625;60.93780136
S;SUL;2024-01-08;20459.2421875;17195.90039063;84.04949951
NE;NORDESTE;2024-01-09;51691.2265625;25626.58789063;49.57630157
N;NORTE;2024-01-09;15302.39648438;6953.91308594;45.44329834
SE;SUDESTE;2024-01-09;204615.328125;124485.34375;60.83869934
S;SUL;2024-01-09;20459.2421875;16988.03515625;83.03359985
NE;NORDESTE;2024-01-10;51691.2265625;25645.6171875;49.61309814
N;NORTE;2024-01-10;15302.39648438;6950.69091797;45.42219925
SE;SUDESTE;2024-01-10;204615.328125;124453.1875;60.82300186
S;SUL;2024-01-10;20459.2421875;16814.8203125;82.18689728
NE;NORDESTE;2024-01-11;51691.2265625;25652.60546875;49.62659836
N;NORTE;2024-01-11;15302.39648438;6952.80810547;45.43610001
SE;SUDESTE;2024-01-11;204615.328125;124378.375;60.78639984
S;SUL;2024-01-11;20459.2421875;16617.4453125;81.22219849
NE;NORDESTE;2024-01-12;51691.2265625;25653.96875;49.62929916
N;NORTE;2024-01-12;15302.39648438;6948.72900391;45.40940094
SE;SUDESTE;2024-01-12;204615.328125;124240.140625;60.71889877
S;SUL;2024-01-12;20459.2421875;16471.77539063;80.5102005
NE;NORDESTE;2024-01-13;51691.2265625;25691.58398438;49.70199966
N;NORTE;2024-01-13;15302.39648438;6976.00488281;45.58769989
SE;SUDESTE;2024-01-13;204615.328125;124532.96875;60.86199951
S;SUL;2024-01-13;20459.2421875;16321.37402344;79.77510071
