id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
N;NORTE;2024-01-01;3083.86206055;19.47859955;3083.86206055;19.47859955
NE;NORDESTE;2024-01-01;2928.74511719;21.7276001;2925.16992188;21.7010994
S;SUL;2024-01-01;6210.63916016;82.28469849;5954.66210938;78.89330292
SE;SUDESTE;2024-01-01;27529.71679688;41.83750153;26925.27539063;40.91889954
N;NORTE;2024-01-02;3194.94799805;20.18029976;3194.94799805;20.18029976
NE;NORDESTE;2024-01-02;3212.37011719;23.83180046;3208.79492188;23.80529976
S;SUL;2024-01-02;5999.71386719;79.49019623;5737.31494141;76.01360321
SE;SUDESTE;2024-01-02;28998.58789063;44.06969833;28301.09375;43.00970078
N;NORTE;2024-01-03;3324.48193359;20.99839973;3324.48193359;20.99839973
NE;NORDESTE;2024-01-03;3535.15405273;26.22640038;3514.41894531;26.07259941
S;SUL;2024-01-03;6163.56396484;81.66100311;5907.42480469;78.26740265
SE;SUDESTE;2024-01-03;30493.53320313;46.34159851;30105.11328125;45.75130081
N;NORTE;2024-01-04;3468.90893555;21.91069984;3468.90893555;21.91069984
NE;NORDESTE;2024-01-04;3789.49609375;28.11330032;3788.78100586;28.1079998
S;SUL;2024-01-04;6593.57080078;87.35820007;6306.68408203;83.55719757
SE;SUDESTE;2024-01-04;32913.3984375;50.01910019;32398.57421875;49.23680115
N;NORTE;2024-01-05;3646.21899414;23.03059959;3646.21899414;23.03059959
NE;NORDESTE;2024-01-05;3925.69995117;29.12380028;3925.69995117;29.12380028
S;SUL;2024-01-05;6678.26123047;88.48020172;6402.50585938;84.8266983
SE;SUDESTE;2024-01-05;35943.40625;54.62390137;34645.87890625;52.65200043
N;NORTE;2024-01-06;3896.24804688;24.60989952;3891.40209961;24.57929993
NE;NORDESTE;2024-01-06;3886.09204102;28.82999992;3737.37207031;27.72660065
S;SUL;2024-01-06;6470.40185547;85.7263031;6239.01708984;82.66069794
SE;SUDESTE;2024-01-06;37910.37109375;57.61309814;36793.92578125;55.91650009
N;NORTE;2024-01-07;4264.39794922;26.93519974;4257.21582031;26.88990021
NE;NORDESTE;2024-01-07;3843.77709961;28.51600075;3683.61694336;27.32789993
S;SUL;2024-01-07;5915.81005859;78.37850189;5728.55419922;75.89759827
SE;SUDESTE;2024-01-07;37443.15234375;56.90309906;36182.44921875;54.98720169
N;NORTE;2024-01-08;4735.79882813;29.91270065;4641.96386719;29.32010078
NE;NORDESTE;2024-01-08;3724.5690918;27.63170052;3724.5690918;27.63170052
S;SUL;2024-01-08;5496.37988281;72.82150269;5299.15722656;70.20850372
SE;SUDESTE;2024-01-08;36474.04296875;55.43030167;35680.61328125;54.22449875
N;NORTE;2024-01-09;5147.09423828;32.51060104;5029.06103516;31.76510048
NE;NORDESTE;2024-01-09;3755.92602539;27.86429977;3755.92602539;27.86429977
S;SUL;2024-01-09;5337.95898438;70.72260284;5119.36083984;67.82640076
SE;SUDESTE;2024-01-09;35609.4921875;54.11650085;34979.8671875;53.1595993
N;NORTE;2024-01-10;5530.15185547;34.93009949;5430.52880859;34.30089951
NE;NORDESTE;2024-01-10;3838.7409668;28.47870064;3767.2409668;27.94820023
S;SUL;2024-01-10;5428.05175781;71.91619873;5225.52099609;69.23290253
SE;SUDESTE;2024-01-10;35671.45703125;54.21060181;35388.8671875;53.78120041
N;NORTE;2024-01-11;5928.65478516;37.44720078;5845.0078125;36.91880035
NE;NORDESTE;2024-01-11;3893.25195313;28.88310051;3819.60693359;28.33670044
S;SUL;2024-01-11;5544.12402344;73.45400238;5354.92822266;70.94740295
SE;SUDESTE;2024-01-11;36151.98828125;54.9408989;35956.0390625;54.64310074
N;NORTE;2024-01-12;6353.89794922;40.1330986;6294.84179688;39.76010132
NE;NORDESTE;2024-01-12;3909.44506836;29.00320053;3889.42504883;28.85470009
S;SUL;2024-01-12;6003.421875;79.53929901;5820.43408203;77.11489868
SE;SUDESTE;2024-01-12;37027.8671875;56.27199936;36796.70703125;55.92070007
N;NORTE;2024-01-13;6801.01904297;42.95729828;6721.74511719;42.45660019
NE;NORDESTE;2024-01-13;3926.44897461;29.12940025;3926.44897461;29.12940025
S;SUL;2024-01-13;6089.78710938;80.6835022;5907.67919922;78.27079773
SE;SUDESTE;2024-01-13;37330.4140625;56.73180008;37117.0234375;56.40750122
N;NORTE;2024-01-14;7288.34814453;46.03540039;7191.26611328;45.42219925
NE;NORDESTE;2024-01-14;4095.83691406;30.38599968;4094.40698242;30.37540054
