din_instante;id_subsistema_origem;nom_subsistema_origem;id_subsistema_destino;nom_subsistema_destino;val_intercambiomwmed
2025-01-01 00:00:00;N;NORTE;NE;NORDESTE;-1606.789
2025-01-01 00:00:00;N;NORTE;SE;SUDESTE;3305.342
2025-01-01 00:00:00;NE;NORDESTE;SE;SUDESTE;4847.116
2025-01-01 00:00:00;SE;SUDESTE;S;SUL;1096.231
2025-01-01 01:00:00;N;NORTE;NE;NORDESTE;-1558.713
2025-01-01 01:00:00;N;NORTE;SE;SUDESTE;3284.561
2025-01-01 01:00:00;NE;NORDESTE;SE;SUDESTE;4948.87299999
2025-01-01 01:00:00;SE;SUDESTE;S;SUL;841.104
2025-01-01 02:00:00;N;NORTE;NE;NORDESTE;-1791.762
2025-01-01 02:00:00;N;NORTE;SE;SUDESTE;3309.182
2025-01-01 02:00:00;NE;NORDESTE;SE;SUDESTE;5208.428
2025-01-01 02:00:00;SE;SUDESTE;S;SUL;1104.902
2025-01-01 03:00:00;N;NORTE;NE;NORDESTE;-1750.137
2025-01-01 03:00:00;N;NORTE;SE;SUDESTE;3264.83
2025-01-01 03:00:00;NE;NORDESTE;SE;SUDESTE;5079.298
2025-01-01 03:00:00;SE;SUDESTE;S;SUL;906.489
2025-01-01 04:00:00;N;NORTE;NE;NORDESTE;-1921.347
2025-01-01 04:00:00;N;NORTE;SE;SUDESTE;3405.295
2025-01-01 04:00:00;NE;NORDESTE;SE;SUDESTE;5377.259
2025-01-01 04:00:00;SE;SUDESTE;S;SUL;1098.55
2025-01-01 05:00:00;N;NORTE;NE;NORDESTE;-2512.007
2025-01-01 05:00:00;N;NORTE;SE;SUDESTE;3143.202
2025-01-01 05:00:00;NE;NORDESTE;SE;SUDESTE;5469.133
2025-01-01 05:00:00;SE;SUDESTE;S;SUL;835.286
2025-01-01 06:00:00;N;NORTE;NE;NORDESTE;-2974.714
2025-01-01 06:00:00;N;NORTE;SE;SUDESTE;2437.934
2025-01-01 06:00:00;NE;NORDESTE;SE;SUDESTE;4881.502
2025-01-01 06:00:00;SE;SUDESTE;S;SUL;671.366
2025-01-01 07:00:00;N;NORTE;NE;NORDESTE;-2864.479
2025-01-01 07:00:00;N;NORTE;SE;SUDESTE;1950.551
2025-01-01 07:00:00;NE;NORDESTE;SE;SUDESTE;4186.134
2025-01-01 07:00:00;SE;SUDESTE;S;SUL;1740.47
2025-01-01 08:00:00;N;NORTE;NE;NORDESTE;-2125.475
2025-01-01 08:00:00;N;NORTE;SE;SUDESTE;1101.89799999
2025-01-01 08:00:00;NE;NORDESTE;SE;SUDESTE;2498.011
2025-01-01 08:00:00;SE;SUDESTE;S;SUL;1134.387
2025-01-01 09:00:00;N;NORTE;NE;NORDESTE;-1199.51
2025-01-01 09:00:00;N;NORTE;SE;SUDESTE;530.191
2025-01-01 09:00:00;NE;NORDESTE;SE;SUDESTE;1632.818
2025-01-01 09:00:00;SE;SUDESTE;S;SUL;886.82
2025-01-01 10:00:00;N;NORTE;NE;NORDESTE;-711.968
2025-01-01 10:00:00;N;NORTE;SE;SUDESTE;313.06599999
2025-01-01 10:00:00;NE;NORDESTE;SE;SUDESTE;1255.41799999
2025-01-01 10:00:00;SE;SUDESTE;S;SUL;519.34799999
2025-01-01 11:00:00;N;NORTE;NE;NORDESTE;-772.919
2025-01-01 11:00:00;N;NORTE;SE;SUDESTE;491.089
2025-01-01 11:00:00;NE;NORDESTE;SE;SUDESTE;1391.048
2025-01-01 11:00:00;SE;SUDESTE;S;SUL;229.722
2025-01-01 12:00:00;N;NORTE;NE;NORDESTE;-924.687
2025-01-01 12:00:00;N;NORTE;SE;SUDESTE;613.142
2025-01-01 12:00:00;NE;NORDESTE;SE;SUDESTE;1558.161
2025-01-01 12:00:00;SE;SUDESTE;S;SUL;285.349
2025-01-01 13:00:00;N;NORTE;NE;NORDESTE;-1109.106
2025-01-01 13:00:00;N;NORTE;SE;SUDESTE;676.92499999
2025-01-01 13:00:00;NE;NORDESTE;SE;SUDESTE;1516.087
2025-01-01 13:00:00;SE;SUDESTE;S;SUL;614.216
2025-01-01 14:00:00;N;NORTE;NE;NORDESTE;-1660.052
2025-01-01 14:00:00;N;NORTE;SE;SUDESTE;946.792
2025-01-01 14:00:00;NE;NORDESTE;SE;SUDESTE;2049.553
2025-01-01 14:00:00;SE;SUDESTE;S;SUL;805.296
2025-01-01 15:00:00;N;NORTE;NE;NORDESTE;-2307.156
2025-01-01 15:00:00;N;NORTE;SE;SUDESTE;1297.483
2025-01-01 15:00:00;NE;NORDESTE;SE;SUDESTE;2654.83
2025-01-01 15:00:00;SE;SUDESTE;S;SUL;768.978
2025-01-01 16:00:00;N;NORTE;NE;NORDESTE;-2469.51899999
2025-01-01 16:00:00;N;NORTE;SE;SUDESTE;1482.127
2025-01-01 16:00:00;NE;NORDESTE;SE;SUDESTE;2591.15
2025-01-01 16:00:00;SE;SUDESTE;S;SUL;-98.053
2025-01-01 17:00:00;N;NORTE;NE;NORDESTE;-1376.57
2025-01-01 17:00:00;N;NORTE;SE;SUDESTE;1647.025
2025-01-01 17:00:00;NE;NORDESTE;SE;SUDESTE;2285.721
2025-01-01 17:00:00;SE;SUDESTE;S;SUL;-628.39599999
2025-01-01 18:00:00;N;NORTE;NE;NORDESTE;-814.796
2025-01-01 18:00:00;N;NORTE;SE;SUDESTE;2668.299
2025-01-01 18:00:00;NE;NORDESTE;SE;SUDESTE;3198.951
2025-01-01 18:00:00;SE;SUDESTE;S;SUL;-246.453
2025-01-01 19:00:00;N;NORTE;NE;NORDESTE;-1341.925
2025-01-01 19:00:00;N;NORTE;SE;SUDESTE;4747.088
